Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/oauth/pkce/register,10,0,140,148.6222600004112,61.06290000025183,248.36440000217408,40.0,0.17171353511418286,0.0,150,170,190,200,250,250,250,250,250,250,250
GET,GET /oauth/pkce/authorize,25684,0,6,5.935961076956612,1.5846000023884699,41.333499997563194,1124.0,441.02904358726727,0.0,6,6,7,7,8,8,10,11,28,37,41
POST,POST /oauth/pkce/authorize,25680,0,8,8.1961599104164,2.6115000000572763,41.31039999629138,347.0,440.9603581732216,0.0,8,9,9,9,10,11,14,16,31,41,41
POST,POST /oauth/pkce/token,25677,0,7,7.235212112015178,2.409300002909731,51.272199998493306,548.0,440.90884411268735,0.0,7,8,8,8,9,10,12,14,30,42,51
OAUTH2_PKCE,full_pkce_login,25677,0,21,21.457178443727706,10.84199999604607,89.37270000024,0.0,440.90884411268735,0.0,21,22,23,24,25,28,34,40,50,64,89
,Aggregated,102728,0,8,10.719154911025885,1.5846000023884699,248.36440000217408,504.7423487267347,1763.9788035209776,0.0,8,9,16,19,22,24,27,30,45,68,250
