Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/oauth/simple/register,10,0,100,111.59488000048441,31.500899996899534,202.12690000334987,42.0,0.16895646643390122,0.0,120,140,150,180,200,200,200,200,200,200,200
GET,GET /oauth/simple/authorize,27517,0,5,5.561926805251324,1.4349999983096495,111.62730000069132,1126.0,464.917508686166,0.0,5,6,6,7,8,9,10,12,28,110,110
POST,POST /oauth/simple/authorize,27514,0,8,7.998747753873863,2.3912999968160875,114.72340000182157,347.0,464.8668217462358,0.0,8,8,9,9,10,12,14,16,33,110,110
POST,POST /oauth/simple/token,27511,0,7,7.021717291255495,2.0939999958500266,131.0968999969191,551.0,464.8161348063056,0.0,7,7,8,8,9,10,12,14,33,110,130
OAUTH2_SIMPLE,full_simple_login,27511,0,20,20.6339403947291,10.38890000199899,143.50410000042757,0.0,464.8161348063056,0.0,20,21,22,23,25,29,34,39,59,120,140
,Aggregated,110063,0,7,10.312964692942478,1.4349999983096495,202.12690000334987,505.9873072694729,1859.585556511447,0.0,7,9,15,18,21,23,27,31,48,110,200
