timestamp,cpu_percent,ram_mb,active_sessions
00:29:22,0.00,60.20,0
00:29:23,0.00,60.20,0
00:29:24,1.60,62.27,0
00:29:25,0.00,62.50,0
00:29:26,0.00,62.53,0
00:29:27,1.60,62.70,0
00:29:28,1.60,62.75,0
00:29:29,3.10,62.77,0
00:29:30,3.10,62.80,0
00:29:31,1.60,62.83,0
00:29:32,7.80,62.93,0
00:29:33,0.00,62.98,0
00:29:34,3.10,63.01,0
00:29:35,1.60,63.01,0
00:29:36,0.00,63.02,0
00:29:37,0.00,63.07,0
00:29:38,3.10,63.10,0
00:29:39,0.00,63.18,0
00:29:40,0.00,63.15,0
00:29:41,3.10,63.15,0
00:29:42,7.80,63.27,0
00:29:43,7.80,63.16,0
00:29:44,0.00,63.19,0
00:29:45,0.00,63.11,0
00:29:46,3.10,63.12,0
00:29:47,1.60,63.12,0
00:29:48,7.80,63.26,0
00:29:49,3.10,63.16,0
00:29:50,7.80,63.21,0
00:29:51,1.60,63.18,0
00:29:52,1.60,63.21,0
00:29:53,4.70,63.33,0
00:29:54,4.70,67.93,0
00:29:55,1.60,63.28,0
00:29:56,0.00,63.28,0
00:29:57,3.10,63.30,0
00:29:58,3.10,63.30,0
00:29:59,3.10,63.31,0
00:30:00,4.70,63.31,0
00:30:01,4.70,63.31,0
00:30:02,3.10,63.32,0
00:30:03,9.40,63.41,0
00:30:04,4.70,63.34,0
00:30:05,3.10,63.35,0
00:30:06,3.10,63.35,0
00:30:07,4.70,63.47,0
00:30:08,4.70,63.37,0
00:30:09,4.70,63.41,0
00:30:10,3.10,63.39,0
00:30:11,0.00,63.40,0
00:30:12,3.10,70.55,0
00:30:13,6.30,72.12,0
00:30:14,0.00,63.46,0
00:30:15,1.60,63.47,0
00:30:16,0.00,63.47,0
00:30:17,0.00,63.48,0
00:30:18,7.80,63.57,0
00:30:19,1.60,63.48,0
00:30:20,3.10,63.49,0
00:30:21,0.00,63.49,0
