operation,mean_ms,min_ms,max_ms,p95_ms,stdev_ms
is_subgroup_member (ms),18.021107,16.3628,22.5391,21.5784,1.416043
_compute_session_binding (ms),0.002442,0.0019,0.0316,0.003,0.002965
_compute_challenge (ms),0.001153,0.0009,0.0055,0.0014,0.000463
_issue_jwt (ms),0.019147,0.0161,0.0965,0.0262,0.008345
GET /parameters (ms),0.2253,0.1922,0.5029,0.3096,0.042525
POST /register (ms),23.017504,20.9913,38.6103,25.3447,2.461632
GET /data (ms),0.940614,0.7358,2.8667,1.1426,0.219054
POST /data (ms),1.066449,0.9201,3.9913,1.2904,0.333285
