Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login/commit,1066,0,1200,1184.483524015015,140.88649999985137,1728.5579999997935,386.3780487804878,17.951957040522963,0.0,1200,1200,1300,1300,1300,1300,1500,1500,1700,1700,1700
POST,/login/verify,1041,0,1400,1482.6069079731012,204.64949999995952,7218.511500000204,192.0,17.530944914807133,0.0,1400,1400,1500,1600,1700,2200,2900,3500,6200,7200,7200
POST,/register,50,0,1200,1109.2514080000365,437.34660000018266,1975.6654000002527,24.0,0.8420242514316587,0.0,1200,1300,1400,1400,1600,1700,2000,2000,2000,2000,2000
ZKP,full_zkp_login,1041,0,2600,2684.3643725264246,722.3491999998259,8318.924900000184,0.0,17.530944914807133,0.0,2600,2700,2700,2800,3000,3400,4100,4900,7400,8300,8300
,Aggregated,3198,0,1400,1768.58633833647,140.88649999985137,8318.924900000184,191.6669793621013,53.85587112156889,0.0,1400,2000,2500,2600,2700,2900,3400,3900,6200,8300,8300
