Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/authlib/register,10,0,16,17.619490001379745,12.369900003250223,22.021000004315283,37.0,0.1714890843824517,0.0,19,20,20,21,22,22,22,22,22,22,22
GET,GET /authlib/oauth/authorize,28566,0,7,6.703471189527514,1.4362999936565757,49.78390000178479,1127.0,489.8757184469115,0.0,7,8,8,8,9,10,12,14,31,40,50
POST,POST /authlib/oauth/authorize,28561,0,6,5.859208038953458,1.6423999986727722,46.24999999941792,389.0,489.7899739047203,0.0,6,7,7,8,9,9,11,12,29,46,46
POST,POST /authlib/oauth/token,28561,0,6,5.865124291887849,1.8742999964160845,45.43779999949038,135.0,489.7899739047203,0.0,6,6,7,7,9,9,11,13,31,43,45
AUTHLIB,full_authlib_pkce_login,28561,0,18,18.51148635554035,8.18040000012843,79.98869999573799,0.0,489.7899739047203,0.0,18,20,21,22,24,26,31,36,54,75,80
,Aggregated,114259,0,7,9.23544552640753,1.4362999936565757,79.98869999573799,412.7483699314715,1959.4171292454548,0.0,7,9,12,15,19,22,25,28,44,61,80
