operation,mean_ms,min_ms,max_ms,p95_ms,stdev_ms
is_subgroup_member (ms),0.66509,0.4233,1.9271,1.1838,0.256247
_compute_session_binding (ms),0.002266,0.0015,0.0203,0.0034,0.002215
_compute_challenge (ms),0.000685,0.0004,0.0051,0.0019,0.000604
_issue_jwt (ms),0.020527,0.0146,0.0841,0.0257,0.00692
GET /parameters (ms),0.244509,0.1874,0.5121,0.3601,0.059515
POST /register (ms),1.696815,1.1098,10.8581,2.7834,1.028242
GET /data (ms),1.256362,0.8335,3.2221,2.3533,0.473305
POST /data (ms),1.652342,1.0131,12.5207,2.6936,1.202429
