timestamp,cpu_percent,ram_mb,active_sessions
14:44:15,0.00,60.23,0
14:44:16,0.00,60.23,0
14:44:17,0.00,62.59,0
14:44:18,3.10,62.82,0
14:44:19,1.60,61.80,0
14:44:20,0.00,61.88,0
14:44:21,1.60,62.93,0
14:44:22,0.00,63.15,0
14:44:23,9.40,63.25,0
14:44:24,1.60,62.46,0
14:44:25,3.10,63.09,0
14:44:26,4.70,63.59,0
14:44:27,1.60,62.21,0
14:44:28,3.10,62.92,0
14:44:29,6.30,63.19,0
14:44:30,3.10,62.29,0
14:44:31,6.30,62.46,0
14:44:32,4.70,62.57,0
14:44:33,1.60,62.60,0
14:44:34,3.10,62.73,0
14:44:35,7.80,62.77,0
14:44:36,3.10,62.77,0
14:44:37,9.40,62.76,0
14:44:38,0.00,62.68,0
14:44:39,0.00,62.70,0
14:44:40,1.60,68.65,0
14:44:41,3.10,62.73,0
14:44:42,0.00,62.74,0
14:44:43,4.70,62.75,0
14:44:44,1.60,62.77,0
14:44:45,7.80,62.77,0
14:44:46,0.00,62.78,0
14:44:47,3.10,62.85,0
14:44:48,0.00,62.86,0
14:44:49,1.50,63.00,0
14:44:50,1.60,62.91,0
14:44:51,0.00,62.88,0
14:44:52,0.00,62.97,0
14:44:53,0.00,62.91,0
14:44:54,6.30,62.96,0
14:44:55,0.00,62.92,0
14:44:56,3.10,62.92,0
14:44:57,4.70,62.96,0
14:44:58,3.00,62.95,0
14:44:59,4.70,62.95,0
14:45:00,25.00,62.97,0
14:45:01,28.10,62.99,0
14:45:02,23.40,63.02,0
14:45:03,1.60,63.03,0
14:45:04,23.40,63.11,0
14:45:05,6.20,63.29,0
14:45:06,3.10,63.23,0
14:45:07,1.60,63.30,0
14:45:08,1.60,63.24,0
14:45:09,0.00,63.25,0
14:45:10,12.50,63.27,0
14:45:11,44.60,63.44,0
14:45:12,48.40,63.39,0
14:45:13,17.20,63.41,0
14:45:14,29.70,63.73,0
